x,y,t,u_true,u_pinn,abs_error
0.70454543829,0.159090906382,0.735294103622,9.14549289632e-08,0.00118914665654,0.0011890551541
0.70454543829,0.159090906382,0.764705896378,4.96932237581e-08,0.000962008256465,0.000961958547123
0.70454543829,0.159090906382,0.794117629528,2.70014837156e-08,0.00075400294736,0.000753975939006
0.70454543829,0.159090906382,0.823529422283,1.46716345739e-08,0.000561882276088,0.000561867607757
0.70454543829,0.159090906382,0.852941155434,7.97203814074e-09,0.000383098144084,0.000383090169635
0.70454543829,0.159090906382,0.882352948189,4.33171010172e-09,0.000215191859752,0.000215187523281
0.70454543829,0.159090906382,0.911764681339,2.35369546076e-09,5.58686442673e-05,5.5866290495e-05
0.70454543829,0.159090906382,0.941176474094,1.27891097712e-09,-9.6361618489e-05,9.63628990576e-05
0.70454543829,0.159090906382,0.970588207245,6.94914181754e-10,-0.00024328706786,0.000243287766352
0.70454543829,0.159090906382,1,3.77590680944e-10,-0.000386517029256,0.000386517407605
0.727272748947,0.159090906382,0,0.362192183733,0.361873775721,0.00031840801239
0.727272748947,0.159090906382,0.0294117648154,0.196802020073,0.212403550744,0.0156015306711
0.727272748947,0.159090906382,0.0588235296309,0.106935039163,0.128561273217,0.0216262340546
0.727272748947,0.159090906382,0.088235296309,0.0581045970321,0.0815780684352,0.0234734714031
0.727272748947,0.159090906382,0.117647059262,0.0315719209611,0.0545727796853,0.0230008587241
0.727272748947,0.159090906382,0.147058829665,0.0171550288796,0.0384522117674,0.0212971828878
0.727272748947,0.159090906382,0.176470592618,0.0093214167282,0.028424102813,0.0191026851535
0.727272748947,0.159090906382,0.205882355571,0.00506491865963,0.021907184273,0.0168422646821
0.727272748947,0.159090906382,0.235294118524,0.00275209196843,0.0174698717892,0.0147177800536
0.727272748947,0.159090906382,0.264705896378,0.0014953854261,0.0142993815243,0.0128039959818
0.727272748947,0.159090906382,0.29411765933,0.000812538259197,0.0119289346039,0.0111163966358
0.727272748947,0.159090906382,0.323529422283,0.000441503652837,0.0100858695805,0.00964436586946
0.727272748947,0.159090906382,0.352941185236,0.000239896951825,0.00860722735524,0.00836733076721
0.727272748947,0.159090906382,0.382352948189,0.000130351254484,0.00739193381742,0.00726158265024
0.727272748947,0.159090906382,0.411764711142,7.08281440893e-05,0.00637512328103,0.00630429526791
0.727272748947,0.159090906382,0.441176474094,3.84854283766e-05,0.00551282288507,0.00547433737665
0.727272748947,0.159090906382,0.470588237047,2.09115769394e-05,0.00477438094094,0.00475346948951
0.727272748947,0.159090906382,0.5,1.13625865197e-05,0.00413690926507,0.004125546664
0.727272748947,0.159090906382,0.529411792755,6.17400928604e-06,0.00358309270814,0.00357691873796
0.727272748947,0.159090906382,0.558823525906,3.35473441737e-06,0.00309890927747,0.00309555465356
0.727272748947,0.159090906382,0.588235259056,1.82284190942e-06,0.00267352582887,0.00267170299776
0.727272748947,0.159090906382,0.617647051811,9.90464855022e-07,0.00229800166562,0.00229701120406
0.727272748947,0.159090906382,0.647058844566,5.38182405307e-07,0.00196431996301,0.00196378189139
0.727272748947,0.159090906382,0.676470577717,2.9242897881e-07,0.00166631164029,0.001666019205
0.727272748947,0.159090906382,0.705882310867,1.5889521876e-07,0.00139858247712,0.00139842357021
0.727272748947,0.159090906382,0.735294103622,8.63378559757e-08,0.00115643860772,0.00115635222755
0.727272748947,0.159090906382,0.764705896378,4.69127954261e-08,0.000935797113925,0.000935750198551
0.727272748947,0.159090906382,0.794117629528,2.54907011055e-08,0.000733484048396,0.000733458553441
0.727272748947,0.159090906382,0.823529422283,1.38507294523e-08,0.000546414870769,0.000546401017345
0.727272748947,0.159090906382,0.852941155434,7.52598783293e-09,0.000371654052287,0.000371646514395
0.727272748947,0.159090906382,0.882352948189,4.08934308638e-09,0.000207577366382,0.000207573277294
0.727272748947,0.159090906382,0.911764681339,2.2220019158e-09,5.14280982316e-05,5.14258754265e-05
0.727272748947,0.159090906382,0.941176474094,1.20735355047e-09,-9.79262404144e-05,9.79274482233e-05
0.727272748947,0.159090906382,0.970588207245,6.56032450586e-10,-0.00024228869006,0.000242289344897
0.727272748947,0.159090906382,1,3.56463775164e-10,-0.000383089762181,0.000383090111427
0.75,0.159090906382,0,0.338880211115,0.338614940643,0.000265270471573
0.75,0.159090906382,0.0294117648154,0.184135138988,0.198911830783,0.0147766917944
0.75,0.159090906382,0.0588235296309,0.100052319467,0.120365731418,0.0203134119511
0.75,0.159090906382,0.088235296309,0.0543647781014,0.0763848349452,0.0220200568438
