x,u0_true,u0_opt,abs_error
3.578125,-0.041632398963,-0.0549483015489,0.0133159025859
3.59375,-0.0397850014269,-0.0512590984907,0.0114740970638
3.609375,-0.0379738472402,-0.047444928318,0.00947108107783
3.625,-0.0361974239349,-0.0435477401527,0.0073503162178
3.640625,-0.0344540849328,-0.0396108002563,0.00515671532352
3.65625,-0.0327422395349,-0.0356778544179,0.00293561488308
3.671875,-0.0310602840036,-0.0317922496441,0.00073196564046
3.6875,-0.0294065885246,-0.0279960464699,0.00141054205469
3.703125,-0.0277795530856,-0.0243291537947,0.00345039929089
3.71875,-0.0261776000261,-0.0208285167018,0.0053490833243
3.734375,-0.0245992001146,-0.0175273844181,0.00707181569655
3.75,-0.02304276824,-0.0144546807417,0.00858808749832
3.765625,-0.0215068422258,-0.0116344933949,0.00987234883084
3.78125,-0.0199899487197,-0.00908569237019,0.0109042563495
3.796875,-0.0184906627983,-0.00682168097946,0.0116689818188
3.8125,-0.017007580027,-0.0048502774664,0.0121573025606
3.828125,-0.0155393276364,-0.00317372006583,0.0123656075705
3.84375,-0.0140845933929,-0.00178878455186,0.012295808841
3.859375,-0.0126420054585,-0.000687000705877,0.0119550047526
3.875,-0.011210299097,0.0001450472508,0.0113553463478
3.890625,-0.00978820864111,0.000725351492157,0.0105135601333
3.90625,-0.00837448425591,0.00107605727543,0.00945054153134
3.921875,-0.00696789845824,0.00122299871581,0.00819089717405
3.9375,-0.00556723773479,0.0011952050634,0.00676244279819
3.953125,-0.00417132675648,0.00102438683521,0.00519571359169
3.96875,-0.00277892244048,0.000744409048804,0.00352333148929
3.984375,-0.0013888690155,0.000390756820878,0.00177962583638
