x,t,u
4.6875,5.63,-0.749947469987
6.25,5.63,-1.16086004363
7.8125,5.63,-0.21966079702
9.375,5.63,0.240174977236
10.9375,5.63,0.871995135247
12.5,5.63,1.85155950104
14.0625,5.63,0.623479076756
15.625,5.63,-1.12364067698
17.1875,5.63,-0.416303252934
18.75,5.63,0.22799506605
20.3125,5.63,0.497751149841
21.875,5.63,0.705416549383
23.4375,5.63,1.7853920221
25,5.63,1.0856394582
26.5625,5.63,-1.0382781831
28.125,5.63,-1.15681851091
29.6875,5.63,0.0763619795833
31.25,5.63,1.06854284465
32.8125,5.63,2.36512447109
34.375,5.63,0.0999790901052
35.9375,5.63,-1.98392842114
37.5,5.63,-0.33803611929
39.0625,5.63,0.524674546594
40.625,5.63,2.03717396448
42.1875,5.63,0.916903337063
43.75,5.63,-1.50293063702
45.3125,5.63,-1.12177867493
46.875,5.63,-0.102031949864
48.4375,5.63,0.0856331045423
0,5.64,0.45299086908
1.5625,5.64,1.74368133162
3.125,5.64,1.58317362125
4.6875,5.64,-0.744686599764
6.25,5.64,-1.16450016883
7.8125,5.64,-0.220519842806
9.375,5.64,0.239211400408
10.9375,5.64,0.869599219346
12.5,5.64,1.85157764493
14.0625,5.64,0.628863433655
15.625,5.64,-1.12230344345
17.1875,5.64,-0.41884670512
18.75,5.64,0.227103594872
20.3125,5.64,0.496946076416
21.875,5.64,0.703556498794
23.4375,5.64,1.78516266282
25,5.64,1.08862954695
26.5625,5.64,-1.03868910795
28.125,5.64,-1.16020011697
29.6875,5.64,0.0747445427677
31.25,5.64,1.0655528312
32.8125,5.64,2.36562536179
34.375,5.64,0.103591634409
35.9375,5.64,-1.98412867598
37.5,5.64,-0.339809937581
39.0625,5.64,0.523427803674
40.625,5.64,2.03798879583
42.1875,5.64,0.919468445194
43.75,5.64,-1.50217195969
45.3125,5.64,-1.1223744362
46.875,5.64,-0.101102310596
48.4375,5.64,0.0846186293412
0,5.65,0.450805859044
1.5625,5.65,1.74021905993
3.125,5.65,1.58873834837
4.6875,5.65,-0.739405565322
6.25,5.65,-1.16813767481
7.8125,5.65,-0.221381206614
9.375,5.65,0.238247581809
10.9375,5.65,0.867211328477
12.5,5.65,1.85157607615
14.0625,5.65,0.634246571261
15.625,5.65,-1.12094377356
17.1875,5.65,-0.421397253739
18.75,5.65,0.226208856366
20.3125,5.65,0.496138354322
21.875,5.65,0.701701618934
23.4375,5.65,1.78492782054
25,5.65,1.09161393598
26.5625,5.65,-1.03909761485
28.125,5.65,-1.1635755575
29.6875,5.65,0.0731291005242
31.25,5.65,1.06257227344
32.8125,5.65,2.36611454162
34.375,5.65,0.107200614163
35.9375,5.65,-1.98431439704
37.5,5.65,-0.341593501146
39.0625,5.65,0.522175730843
40.625,5.65,2.03879507558
42.1875,5.65,0.922043728301
43.75,5.65,-1.50140208426
45.3125,5.65,-1.12297544164
46.875,5.65,-0.10017300276
48.4375,5.65,0.0836092735073
0,5.66,0.448627955698
1.5625,5.66,1.7367325241
3.125,5.66,1.59428687944
4.6875,5.66,-0.73410450659
6.25,5.66,-1.17177232592
7.8125,5.66,-0.222244940245
9.375,5.66,0.237283527779
10.9375,5.66,0.864831514775
12.5,5.66,1.85155481748
14.0625,5.66,0.639628425542
15.625,5.66,-1.11956165387
17.1875,5.66,-0.423954872525
18.75,5.66,0.225310836838
20.3125,5.66,0.495327972016
21.875,5.66,0.699851890672
23.4375,5.66,1.78468749816
25,5.66,1.0945926327
26.5625,5.66,-1.03950372739
28.125,5.66,-1.16694486567
29.6875,5.66,0.071515663458
31.25,5.66,1.0596011815
32.8125,5.66,2.36659210818
34.375,5.66,0.110806052206
35.9375,5.66,-1.98448567068
37.5,5.66,-0.343386829864
39.0625,5.66,0.520918350227
40.625,5.66,2.03959275792
42.1875,5.66,0.924629193695
43.75,5.66,-1.50062097246
45.3125,5.66,-1.12358172437
46.875,5.66,-0.0992440557426
48.4375,5.66,0.0826051183792
0,5.67,0.446457148679
1.5625,5.67,1.73322183465
3.125,5.67,1.59981902814
4.6875,5.67,-0.728783564451
6.25,5.67,-1.17540388559
7.8125,5.67,-0.223111096014
9.375,5.67,0.23631924501
10.9375,5.67,0.862459829487
